S.No,Contract No.,Reg. No.,Asset Id.,State,Location,Category,Brand,Model,Year,Start Price,Bidders Count,Sale Price,Yard Entry Date,Posted Date,Auction Start Date,Auction Start Time,Auction End Date,Auction End Time,Status
1,ATELETTW03575,AP39BS8995,AP/201224/0215,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,HONDA DIO,2019,55400,3,55500,29-09-2020,24-12-2020 18:53:26,24-12-2020,10:01:00,31-12-2020,17:10:00,SOLD OUT
2,ATELETTW03780,AP39CL7474,AP/201224/0214,ANDHRA PRADESH,Eluru,TWO WHEELER,SUZUKI,ACCESS 125,2019,66000,2,66000,24-08-2020,24-12-2020 18:52:46,24-12-2020,12:10:00,31-12-2020,18:07:00,BID CONFIRMED
3,ATELETTW03893,AP39CS4326,AP/201224/0213,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,HONDA ACTIVA 5G,2019,60000,5,58500,24-08-2020,24-12-2020 18:51:38,24-12-2020,08:02:00,06-01-2021,17:09:00,BID CONFIRMED
4,ATELETTW03926,AP39DA0792,AP/201224/0212,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,HONDA SHINE,2019,48000,1,49000,29-09-2020,24-12-2020 18:51:02,24-12-2020,10:11:00,18-01-2021,17:06:00,POSTED FOR SALE
5,ATELJTTW01325,AP39Q5285,AP/201224/0211,ANDHRA PRADESH,Eluru,TWO WHEELER,HMSI,LIVO (CBF110G),2018,44500,0,0,24-08-2020,24-12-2020 18:50:22,24-12-2020,10:11:00,18-01-2021,17:09:00,POSTED FOR SALE
6,ATELJTTW01431,AP39BJ4542,AP/201224/0210,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,TVS JUPITER GRANDE DISC,2019,48500,0,0,24-08-2020,24-12-2020 18:49:47,24-12-2020,08:07:00,18-01-2021,17:05:00,POSTED FOR SALE
7,ATELJTTW01495,AP39CD1153,AP/201224/0209,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,JUPITER DISC,2019,43000,1,43100,29-09-2020,24-12-2020 18:49:06,24-12-2020,11:04:00,18-01-2021,17:00:00,POSTED FOR SALE
8,ATELJTTW01625,AP39CD1084,AP/201224/0208,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,TVS RADEON,2019,43000,3,40000,24-08-2020,24-12-2020 18:48:31,24-12-2020,12:02:00,06-01-2021,17:04:00,BID CONFIRMED
9,ATELJTTW01646,AP39CQ8312,AP/201224/0207,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,Jupiter,2019,45000,1,45100,29-09-2020,24-12-2020 18:47:39,24-12-2020,12:04:00,18-01-2021,17:03:00,POSTED FOR SALE
10,ATELJTTW01827,AP39DZ5165,AP/201224/0206,ANDHRA PRADESH,Eluru,TWO WHEELER,TVS MOTORS,TVS RADEON,2020,43500,0,0,29-09-2020,24-12-2020 18:46:45,24-12-2020,11:22:00,18-01-2021,17:10:00,POSTED FOR SALE
11,ATGRGSTW07190,AP39BK1970,AP/201224/0205,ANDHRA PRADESH,Guntur,TWO WHEELER,SUZUKI,ACCESS 125,2019,60000,8,67050,29-09-2020,24-12-2020 18:46:03,24-12-2020,10:13:00,06-01-2021,18:08:00,SOLD OUT
